Vardas                   Pavarde                    ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       ND9      ND10      ND11      ND12      ND13      ND14      ND15      ND16      ND17      ND18      ND19      ND20      Egz.
Vardas8477           Pavarde8477                      1         5        10         3         9         7         7         9         5         3         9         2         1         5         2         9         4         5         6         3         8
Vardas8478           Pavarde8478                     10         4        10         1         1        10         5         8        10         6         7        10         2         6         3         6         3         8        10         6         8
Vardas8479           Pavarde8479                      3         5         5         7         2         3         5        10         1         3        10         8         4         2        10        10         9         5         9         9        10
Vardas8480           Pavarde8480                     10         3        10         5         2         8         5         5         7         5         5         8         4         7         9         6         1         7         7         3         8
Vardas8481           Pavarde8481                      6         4         7         3        10         1         3         2         9         9         1         7         6         2         3         2         8         3         9         4         8
Vardas8482           Pavarde8482                      3         6         7         4         8        10         4         4         8         1         3         5         7         8         2         6         1         3         8         1         3
Vardas8483           Pavarde8483                      6         6         8         7         9         7         9         6         2         8         3         9         2         1         5         5        10         5         5         1         6
Vardas8484           Pavarde8484                      9         7         9         7         3         9         6         3         9         6        10         3         9         6        10         1         2         9         8         7         6
Vardas8485           Pavarde8485                      1         4         3         2         8        10         3         9         1         3         7         3         3        10         5        10         6         4         1        10         9
Vardas8486           Pavarde8486                      4        10         9         5         3         9         2         9         4         9         4         7         6         8         5         5         3         1         8         5         7
Vardas8487           Pavarde8487                      4         3         5         4         3         4         5         9         6         1         7         6         3         7         8         5        10         1         6         9         2
Vardas8488           Pavarde8488                      4         5         3         6         5         1        10         1        10         9        10         4         3         1        10         9         5         4         8        10         1
Vardas8489           Pavarde8489                     10         3         3         5         7        10         2         7         3         7         8         9        10         5         7         2         4         8         3         6         8
Vardas8490           Pavarde8490                      8         7         4         8         1         8         1         6         3         8         8         5         5         2         6         3         9         6         4         7         6
Vardas8491           Pavarde8491                      3         4         9         2         9         6         4         5         6         1         2         1         6         3         8         5         7         1         9         8         1
Vardas8492           Pavarde8492                      2         5         3         6         8         7         4         8         8         7         8         7         9         8         9         2         1         9        10         9         5
Vardas8493           Pavarde8493                      7         1         1         4         7         4         1         4         9         4         3         5         3         2         3        10         9         1         7         4         9
Vardas8494           Pavarde8494                      1         7         9         3         1         5         3         4         5         5         2        10         8         4         1         2         8         2         7         8         3
Vardas8495           Pavarde8495                     10         1        10         6         5         4         3         8         5         7         8         8         3         3         9         9         8         8         3         4         5
Vardas8496           Pavarde8496                      2        10         9         4         5         3         3         9         3         4         7         7         9         9         1         4        10         4         2        10         9
Vardas8497           Pavarde8497                      2         4         2         6         9        10         6        10         5         6        10         7        10         1         6         4         9         4         4         6         1
Vardas8498           Pavarde8498                      3         7         9         5         5         7         3         6         3         5         5         1         9         8         7         5         4         3         6         7         1
Vardas8499           Pavarde8499                      2         2         6         7         6         7         6         1         9         1         4         9         6         4         6         9         3         2        10         9         6
Vardas8500           Pavarde8500                      9         2         4         9         9         3         8         8         1         3         8         9         4         8         7         1         9         8         8         8         5
Vardas8501           Pavarde8501                      9         7         5         8         9         4         1         2        10         5         8         6         1         3         3         2         3         4         3         8         8
Vardas8502           Pavarde8502                      5         1         1         9         2         8         3         6         2         9         2        10         2         3         2         6         2         8         3         7        10
Vardas8503           Pavarde8503                      7         9         1         2         9         6         9         4         9         3         7         4         8         4         8         4         9         3         8         4         3
Vardas8504           Pavarde8504                      7         1         2         5         6         2         4         8         5         7         8         9        10        10         7         1        10         3         4         1         5
Vardas8505           Pavarde8505                      8         3         7         6         9         1         4         4         2         5         6         5         6         5         9         4         2         4         7        10         4
Vardas8506           Pavarde8506                      1         2         1         5         9        10         8         2         9         4         4         4         2        10         1         4         7         9         4         4         1
Vardas8507           Pavarde8507                      7         4         5         2         2         9         1         4         5         2         3         8         2         4        10         5         2         3         8         4         3
Vardas8508           Pavarde8508                     10         1         7         9         7         7         9         8        10         8         5         7         3         8         2         8         7        10         9         8         8
Vardas8509           Pavarde8509                      4         5         3         5         9        10         2         4         7         2         6         1         1         7         2         8         5         5        10         5         3
Vardas8510           Pavarde8510                      1         6         1         4         4         3         6         4         3         1         6         3         6         4         2         6        10         6         9         8         2
Vardas8511           Pavarde8511                      7         4         7         7         2         5         8         9         7         6         5         1         7         1         8         3         6         3         7         7         6
Vardas8512           Pavarde8512                      5         9        10         8        10         9         4         6         5         2         4         3        10         8         8        10         2         7         3         9         1
Vardas8513           Pavarde8513                     10         1         1         8         4         4         8         2         6         6         8         1         4         4        10        10         8         5         9        10         9
Vardas8514           Pavarde8514                      5         2         6         1         2         7         1         9         5         1         8         6        10         7         6         8         4         8         9         3         2
Vardas8515           Pavarde8515                     10         6         1         9         2         5         8         4        10         6         3         9         5         5         2         6        10         9         9         4         7
Vardas8516           Pavarde8516                      6         8         7         6         7        10         2         5         9         9         4         2        10         2         9         3         5         6         2         9         6
Vardas8517           Pavarde8517                      7         5         1         7         8         6         9        10         7         4         9         9         9         2         8         6         3         3         9         2         6
Vardas8518           Pavarde8518                      7         3         8         4         2         7         4        10         9        10        10        10         5         5         6         5         8         5         6         8         1
Vardas8519           Pavarde8519                      4         2         4         7         1         4         7         9         6         7         2         9        10         8         5         7         7         4         2         5         4
Vardas8520           Pavarde8520                      4         6         6         1         1         7         4         4         3         7         1         9         3         4         7         9         2         1         3         2         8
Vardas8521           Pavarde8521                      8         3         2         5         2         3         2         6         7         3        10         6         5         8         8         9         1         1         9         3         3
Vardas8522           Pavarde8522                      1         3         7         8         5         5         7         8         7         4         8         5         1         9        10         6         1         6         9         3         3
Vardas8523           Pavarde8523                      6         8         3         4         2         8         6         1         7        10         3         1        10         6         3         4         6         1         4         8         6
Vardas8524           Pavarde8524                      4        10         9         5         9         5         9         6         6         3         7         4         5         6         6         6         2         5         4         3         1
Vardas8525           Pavarde8525                      7         3         9         6        10        10         3         9         6         7         4         4         4         4         2         4         7         3        10         2         1
Vardas8526           Pavarde8526                      2        10         3         7         9         6         1         4         4         5         8         4         8         2        10         1         1         2         1         2         2
Vardas8527           Pavarde8527                      7         3         7         8         8         8         5         2         2         1         3         3         4         4         4         5         5         5         3         6         1
Vardas8528           Pavarde8528                      5         6         2         4         3         2         6         2         9         7         9         2         1         9         6         5         2         9         6         6         8
Vardas8529           Pavarde8529                      6        10         8         2         4        10         1         4         9        10         3         1         1         7         3        10         9         3         1         9         6
Vardas8530           Pavarde8530                      6         2         3         7         4         3         4         4         5         5        10         1         9         7         8         4         1         2         1         7         5
Vardas8531           Pavarde8531                      4         4         8         5         7         7         6         8         2         6         5         7         5         2         9         2         4         1         5         9         2
Vardas8532           Pavarde8532                      9         7         4         2         1        10         7         1         3         6         3         4         6         4         6         2         8         5         4         5        10
Vardas8533           Pavarde8533                      3        10         3         7         8         6         1         5         4         3         3         7         8         8         9         9        10         3         1         7         9
Vardas8534           Pavarde8534                     10        10         7         2        10         9         4        10         3         4         8         8         8        10         8         6         3         1         3         5         7
Vardas8535           Pavarde8535                      4         1         2         9         5         5         4         5        10         1         3         1         1         8         9         4         8         3         1         3         4
Vardas8536           Pavarde8536                      5        10         1         5        10         6         9         4         6         2         1         9         6         6         4         1         4         3         1         6         9
Vardas8537           Pavarde8537                      1         7         3        10        10         8         6         5         1         8         6         2         8         1         4         7         1        10         9         8         1
Vardas8538           Pavarde8538                      9        10        10         5         1         3         9         7         5        10         2         7         2         2        10         5         7         7         8         9         3
Vardas8539           Pavarde8539                      9         2        10         8         7         6         7        10         3         5         5         1         9         1         4         1         9         5         8         8         9
Vardas8540           Pavarde8540                      7         2         6         6        10        10         2         1         4         5         4         7         3         3         7         9         7         3         4         2         5
Vardas8541           Pavarde8541                      9         3        10         6         1        10         5         8         3         2         5         7         8         6         1         7         1         2         6         6         7
Vardas8542           Pavarde8542                      2         8         9         2         4         1        10         6         9         1        10         6         8         1         5        10         5         9         9         5         8
Vardas8543           Pavarde8543                      6         9         9         4         6         5         8         4         4         6         6         3         5         7         1         9         5         7         3         2         1
Vardas8544           Pavarde8544                      5         8        10         6         7         8         6         5         5         9         8         7         5         4         5         9         8        10         1         6         9
Vardas8545           Pavarde8545                      7        10         2         7         6         7         3         5         6         6         4         3        10         2         4         8         1         7         7         2         3
Vardas8546           Pavarde8546                      3         5         7        10         7         8         7         1         6         9         8         7         8         2         7         7         6         8         2         3         1
Vardas8547           Pavarde8547                      7         6         4         2         2         6         6        10         7         9         8         5         5         6         8         9         9         5         8         2         4
Vardas8548           Pavarde8548                      9         5         5        10         6         1         2         2         2         9         4         8         9         9         2         6        10         6         3         9        10
Vardas8549           Pavarde8549                      6         2         9         3         7         1         6         8         7         3         5        10         1         7         7         2         2         4        10         2         3
Vardas8550           Pavarde8550                      7         7         4         3         3         3         5         1         3         2         5         6         5         1         6         7         1         4         5         2         6
Vardas8551           Pavarde8551                      3         4         2        10        10         4         1         1         3        10         1         2         4         5         8         7         7         2         5         9         1
Vardas8552           Pavarde8552                      4         8         4         2        10         3         7         8         9         2         8         1         4         4         5         1         6         6         3         6         1
Vardas8553           Pavarde8553                      6         5        10         1         7         9         6        10         7         6         3         8         9         9         9         5         9         4         3         6         1
Vardas8554           Pavarde8554                      8         4        10         7         6         3         8         3         5         7         4         9         4         5         2         6         9         9         5        10         8
Vardas8555           Pavarde8555                      3         9         9         2         2         2         7         1         3         2         9         1         8         8         8         1         6        10         2         1         2
Vardas8556           Pavarde8556                      2         6         9         4         3         9         3         9         1         4         3         5         3         4         3         9         2        10         2        10         9
Vardas8557           Pavarde8557                      5         6         6         1         1         3         5         6         4         8         3         7         7         6         3         1        10         2         1         1         2
Vardas8558           Pavarde8558                     10         4         4         3         5        10         7         9         5        10         3         6         9         5         3         7         7         4         5         4         3
Vardas8559           Pavarde8559                      1         4        10         7         5         2         2         3         9         8         3         8         3         5         6         7         1         9         5         2         3
Vardas8560           Pavarde8560                      1         3        10         9         6         2         5         5         3         5         4         5         4        10         8         7         4         7         2         8         5
Vardas8561           Pavarde8561                      8         4         2         4         8         6         6         8         6         3         6         9         9        10         8        10         3         3         2         1         8
Vardas8562           Pavarde8562                      6         8         6         9         6         8         3         3         6         6         8         3         8         3        10         5         4         3         6         2         3
Vardas8563           Pavarde8563                      9         7         6         8         6         4         4         9         5         5         8         1         8         2         2         3         8        10         3        10         4
Vardas8564           Pavarde8564                      8         2         4         6         9         2         5         1         5         3         1        10         1         6         5         9        10         4         7         7         1
Vardas8565           Pavarde8565                      1         9         5         2         7         2         5         2         2         3         8         2         8         6         9        10         9         3         3         4         3
Vardas8566           Pavarde8566                      6         1         3         2         3        10         4         5         9         9         8         9         6         9         3        10         3         6         4         5         1
Vardas8567           Pavarde8567                      3         3         6         5         7         5         6         3         3         6         2         5         9         5         4         9         8         2         6         2         7
Vardas8568           Pavarde8568                      9         7         4        10         1         2         9         1         8         8         9         7         7         6         1         5         9         3         1         1         3
Vardas8569           Pavarde8569                      6         1         6         1         4        10         2         6         7         4         5         5         5         4        10        10         2        10         1         5         9
Vardas8570           Pavarde8570                      6         2         5         5         6         3        10         5         7         4         7         3         9         6        10         9         1        10         9         7        10
Vardas8571           Pavarde8571                      7         2         5         1         8         2         9        10         9         9         4         8         4         9         7         7         7         8         4         8         2
Vardas8572           Pavarde8572                      2         5         3         5         6         2         2         2         7         4         8         8         2         3         2         8         5         5         6         8         3
Vardas8573           Pavarde8573                      4        10         5         6         3         5         8         6         8         6         7         1         6         7         8        10         1         4         7         8         5
Vardas8574           Pavarde8574                      1         7        10        10         4         8         9         7         3        10         3        10         9         6         3         9         1         4         3         8         6
Vardas8575           Pavarde8575                      9         3         8         8         5        10        10         8        10         8         8         4         9         4         7         2         4         1        10         1         8
Vardas8576           Pavarde8576                      7         7         1         4        10         1         1         2         9         4         7         7         9         5         2         9         7         1         6         2         6
Vardas8577           Pavarde8577                     10         1         6         6         6         8         8         9         9         5         6         8         4         2         9         6         5         7         9         9         5
Vardas8578           Pavarde8578                      2         2        10         2         6        10         7         8         1         2         8        10         4         8         4         8         1         1         5         9         5
Vardas8579           Pavarde8579                     10         6        10         5         5         3         6         4         9         6         2         2         5        10         8         2        10        10         5         8         2
Vardas8580           Pavarde8580                      8         6        10         4        10        10         3         7         4         5         3         2         6         4         3         8         4         2        10         8         8
Vardas8581           Pavarde8581                      3         3         6         5         9         8         8         1         7         9         4         3        10         3         7        10         5         2         4         2         9
Vardas8582           Pavarde8582                      3         4         1         9         7         9         7         1         6         1         1         1         3         4         2         3         9         1         6         7         3
Vardas8583           Pavarde8583                      5         2         4         3         1         2         1         8         8         7         9         3         4         8         2        10         3         5        10         9         1
Vardas8584           Pavarde8584                      5         3         8        10         3         5         1         5         5        10         2         3         2        10         4         5        10        10        10         5         3
Vardas8585           Pavarde8585                      8         9         8         4         9         2         9         4         9         3         9         5         5         3         5         6         9         1         4         3        10
Vardas8586           Pavarde8586                      3         9         5         6         1         9         7         5         3        10         3         6         7         3        10         8         1        10         9         7         3
Vardas8587           Pavarde8587                      6         5         4         6         8         6         6         1         5         1         3         2         9         7         1         1         3         8         3         4         1
Vardas8588           Pavarde8588                      6         5         4         3         4         4         3         5         2         3        10         1         2         8        10         2        10         6         6         7         3
Vardas8589           Pavarde8589                      9         5         5         3         2         2        10         1         8         6         1         1         1         4         4         6         4         5         4         7         6
Vardas8590           Pavarde8590                      7         9         6        10         2         1         4         5         9         8         6         3         5        10         9         5         3         5         6         3         5
Vardas8591           Pavarde8591                      1         4         2         5         2         9         4         2         1         2         8         8        10         5         3        10         7         5         2         8         7
Vardas8592           Pavarde8592                      6         6         2         3        10         4         3        10         9         3         5         9         6         4         1         1         5         7         4         8         2
Vardas8593           Pavarde8593                      6         1         9         3         1         9         3         6         9         1         4         2         3         9        10        10         4         7        10         3         4
Vardas8594           Pavarde8594                      5         7         1         2         4         5         7         3         5        10         3         2         1         3         6         2         3         9         4         3         3
Vardas8595           Pavarde8595                      1         7         6         1         8         5         8         2         2         7         9         7         7         2         4         8         6        10         9         8         6
Vardas8596           Pavarde8596                     10        10         3         4         1         9         6         9         6        10         6         6         1         1         4         5         9         9         7         3         6
Vardas8597           Pavarde8597                      4         4         2         3         4        10         8         2         3         5         6         3         9         4         6         6         1         3         3         6         6
Vardas8598           Pavarde8598                      9         8         8         1         4         9         5         3         9         9         9        10         7         7         3         2         7        10         4         5         3
Vardas8599           Pavarde8599                      5         6         7         1         3         6         3         5         2         7         3         4         2         6        10         6         2         3         9         7         6
Vardas8600           Pavarde8600                      3         1         2         2         2         9         9         8         4         3         7         2         8         1        10         4         9         9         2         2        10
Vardas8601           Pavarde8601                      3         4         6         7         7        10         7         7         7         1         5         1         5         9         2         1         2         5         8         6         1
Vardas8602           Pavarde8602                      2         5        10         8        10         9         8         9         5         3        10         3         8         8         1         6         7         9         3         7         6
Vardas8603           Pavarde8603                      5         5         7         3         6         6         3         7         7         6         2         1         2         1        10         8         3         1        10         4         1
Vardas8604           Pavarde8604                      6         3         3         9         5         4         8         1         2        10         2         9         5         2         6        10         1         9         6         1         1
Vardas8605           Pavarde8605                      8         1         7         1         8         4         9         6         7         4         8         4         2         6         6         4         6         5        10         7         4
Vardas8606           Pavarde8606                      5         9         5         4         1         8         5         2         1         3         5         5         3         2         3         1         3         6         4         4         1
Vardas8607           Pavarde8607                      9        10         4         3         4         4         8         8         5         1         9         8         5         4         8         1         2        10         4         3         8
Vardas8608           Pavarde8608                      4         9         8         4         6         9         9         8         4         1         6         9         3         6         2         4         2         4         9         8         2
Vardas8609           Pavarde8609                      2         7         5         8         2         1         3         9        10        10         8         1         8         4         6         9         8         6         5         8        10
Vardas8610           Pavarde8610                      8         6         5         8         2         6         6         3         1         8         5         3         9         2         8         8         7         2         2         1         5
Vardas8611           Pavarde8611                     10         3         9        10         1         3         6         5         3         9        10         8         2         4         2         2         6         5         3         3         8
Vardas8612           Pavarde8612                      1         6         6         7         2         8         5        10         8         5         2         6         4         4         7         4         8         4         7         2         6
Vardas8613           Pavarde8613                      2         8         2         4         7         5         1         4         9         3        10         6         7         3         1         7         9         7         8         9         7
Vardas8614           Pavarde8614                      1         3         5         6         5        10         2         3        10         8         9         3         3        10         3         9         1         4        10         3         1
Vardas8615           Pavarde8615                      8         8         6         4         7         4         8         8         9         4         1         1        10         8         3         1         9         3         1         5        10
Vardas8616           Pavarde8616                      8         2         2         3         4         9         1         8         6        10         1         8         3         1         4         2        10         5         3         8         1
Vardas8617           Pavarde8617                      5         1         8         6         8         9         3         4         8         5         5         7         9        10         1         6         6         3         4         9        10
Vardas8618           Pavarde8618                      3         7         6         5         9        10         4         8         8         4        10         7        10         4        10         6         8         7         1         6         4
Vardas8619           Pavarde8619                      5         1         1         6         6         5         1         7         4         3         2         8         6         4         4         1        10         4         1         6         9
Vardas8620           Pavarde8620                      7         5         7         3         9         9         6         3         1        10         7         1         2         3         4         2         9        10         4         6        10
Vardas8621           Pavarde8621                      3         9         2         5         4        10         9        10         4         5         8         3         6         1         9         8         2         7         1         5         9
Vardas8622           Pavarde8622                      8         3         5         4         8         8         5         2         8         1         4         4        10         2         5         6         7         1         4         1        10
Vardas8623           Pavarde8623                      9        10         6         5         3         9         7         8         4         5         9         8         2         4         1         2         5         1         2         8         6
Vardas8624           Pavarde8624                      9         4         8         5         8         6         4         8         4         4         2         1         7         9         7         3         7         6        10         7         8
Vardas8625           Pavarde8625                      3         4         3        10         7         7         8         7         1         3         1         1         7         7        10         5         6         7         4         2         2
Vardas8626           Pavarde8626                      6        10         2         4         9         1         5         4         6         1         4         7         6         7         6         9         2         3         4         8         6
Vardas8627           Pavarde8627                     10         4         8         1         1         8         3         5         2         1         5         7         8         4         1         1         1         9         6         7         3
Vardas8628           Pavarde8628                      1         9         2         7         9         3         3         5         2         9         6         2         4         5         6         6         9         2         7         5         2
Vardas8629           Pavarde8629                      4        10         1        10         1         6         6         8        10         3         6         1         5         8         2         9         8         7         8         5         4
Vardas8630           Pavarde8630                      1         9         7         6         6        10         8         9         5         3         6         3         3        10         7         6         8         5         2         1         8
Vardas8631           Pavarde8631                      6         2         9         8         3         2         2        10        10         5         8         6         1        10         3         4         6         2         9         9         4
Vardas8632           Pavarde8632                      8        10         9         6         5         4         7         9         2         5         3         1         7         1         5        10         3         3         3         4         3
Vardas8633           Pavarde8633                      7         6         5        10         6         4         4         5         9         4         4         7         5         5         8         3         8         1         3         4         7
Vardas8634           Pavarde8634                     10        10         3         3         3         2         1         9         2         2         5         5         2         5         4         3         1         7         9         5         5
Vardas8635           Pavarde8635                      8         1         3         5         4         1         4         7         4         2         7         1         7         9         8         6         9         5         7         7         4
Vardas8636           Pavarde8636                     10         7         1         7         1         8         9         3         3         9         1         1         1         1         5         9         2         4         7         8         8
Vardas8637           Pavarde8637                     10         6         3        10         3        10         4         3         5         8         6         1         9         8         9         2        10         3        10        10         3
Vardas8638           Pavarde8638                     10         1         1         8         2         3         9         6         1         7         4         9         1         3         5         4         1         6         8         8         1
Vardas8639           Pavarde8639                     10         6         3         6         3         7         9         2         7         1         3         1         5         2         9         2         3         2         7         7         7
Vardas8640           Pavarde8640                      8         3         3        10         9         8         8         8         2         3         2         1         2         4         9         9         9         8         7        10         2
Vardas8641           Pavarde8641                      1         7         8         5         1         7         7         7         8        10         1         4         8         4         2         3         6         6         5         5         3
Vardas8642           Pavarde8642                      9         1        10         1        10         4        10         1         3         4         6        10         1         4         9         4        10         2         1         7         5
Vardas8643           Pavarde8643                      3         6         4         6         4         6        10         6         5         1         7         7         3         2         9         9         6         2         4         6         3
Vardas8644           Pavarde8644                      7         2         1         3         3         2         6         8         3        10         6         2         1         9         9         9         8         2         1         8         2
Vardas8645           Pavarde8645                      3         2         2         3         9         5         8         5         9         8         9         9         5         9         3         6         7         7         5         3         2
Vardas8646           Pavarde8646                      5         2         2         7         4         9        10         9         5         1         1         2         7         2         7         5         1         3         1         2         5
Vardas8647           Pavarde8647                      2         3         8         6         6         3         3         8         4         4         4         9         8         5         2         8         1         8         8         2         7
Vardas8648           Pavarde8648                     10         1         9        10         8         9         5         6         2        10         1         7         6         8         3         4         7         9         2        10         5
Vardas8649           Pavarde8649                      3         2         4        10         9         1         2         3         4        10         9        10         8        10         4         9         2         6         3         3         4
Vardas8650           Pavarde8650                      9         4         7         6         4        10         4         6         3         5         5         9         6         1         1         4         4         2         9         5         7
Vardas8651           Pavarde8651                      8         6         4         3         3        10         6         9         9         4         5         3         5        10         8         8         3         4         3         6         6
Vardas8652           Pavarde8652                      4         7         5         2         4        10         1         3         6         4         9        10         5         4         5         7        10         1         9         4         1
